Date,Total Stakes,Total Paid,Profit
 Τρίτη 31 Οκτωβρίου 2023,"2,136,435.00€","142,377.50€","1,994,057.50€"
 Κυριακή 29 Οκτωβρίου 2023,"1,919,385.00€","122,126.50€","1,797,258.50€"
 Πέμπτη 26 Οκτωβρίου 2023,"2,430,085.00€","217,776.83€","2,212,308.17€"
 Τρίτη 24 Οκτωβρίου 2023,"1,779,134.00€","144,008.49€","1,635,125.51€"
 Κυριακή 22 Οκτωβρίου 2023,"1,925,242.00€","1,192,613.77€","732,628.23€"
 Πέμπτη 19 Οκτωβρίου 2023,"2,607,839.00€","218,614.54€","2,389,224.46€"
 Τρίτη 17 Οκτωβρίου 2023,"1,866,236.00€","141,458.02€","1,724,777.98€"
 Κυριακή 15 Οκτωβρίου 2023,"1,774,988.00€","132,444.51€","1,642,543.49€"
 Πέμπτη 12 Οκτωβρίου 2023,"6,461,952.00€","235,646.91€","6,226,305.09€"
 Τρίτη 10 Οκτωβρίου 2023,"4,361,320.00€","339,699.22€","4,021,620.78€"
 Κυριακή 8 Οκτωβρίου 2023,"4,584,466.00€","478,125.46€","4,106,340.54€"
 Πέμπτη 5 Οκτωβρίου 2023,"4,584,466.00€","478,125.46€","4,106,340.54€"
 Τρίτη 3 Οκτωβρίου 2023,"3,403,877.00€","425,330.14€","2,978,546.86€"
 Κυριακή 1 Οκτωβρίου 2023,"3,031,811.00€","531,702.14€","2,500,108.86€"
 Τρίτη 26 Σεπτεμβρίου 2023,"2,648,631.00€","336,178.14€","2,312,452.86€"
 Κυριακή 24 Σεπτεμβρίου 2023,"2,160,072.00€","442,263.57€","1,717,808.43€"
 Πέμπτη 21 Σεπτεμβρίου 2023,"2,982,945.00€","278,923.43€","2,704,021.57€"
 Τρίτη 19 Σεπτεμβρίου 2023,"2,017,908.00€","65,576.50€","1,952,331.50€"
 Κυριακή 17 Σεπτεμβρίου 2023,"2,504,083.00€","230,653.00€","2,273,430.00€"
 Πέμπτη 14 Σεπτεμβρίου 2023,"2,504,083.00€","299,761.48€","2,204,321.52€"
 Τρίτη 12 Σεπτεμβρίου 2023,"1,822,952.00€","299,761.48€","1,523,190.52€"
 Κυριακή 10 Σεπτεμβρίου 2023,"2,948,476.00€","345,518.32€","2,602,957.68€"
 Τρίτη 5 Σεπτεμβρίου 2023,"1,856,710.00€","173,886.50€","1,682,823.50€"
 Κυριακή 3 Σεπτεμβρίου 2023,"1,812,727.00€","157,550.50€","1,655,176.50€"
 Πέμπτη 31 Αυγούστου 2023,"2,527,634.00€","269,081.94€","2,258,552.06€"
 Τρίτη 29 Αυγούστου 2023,"2,878,883.00€","167,957.44€","2,710,925.56€"
 Κυριακή 27 Αυγούστου 2023,"2,530,049.00€","291,020.85€","2,239,028.15€"
 Πέμπτη 24 Αυγούστου 2023,"3,090,044.00€","150,765.50€","2,939,278.50€"
 Τρίτη 22 Αυγούστου 2023,"2,092,063.00€","167,555.00€","1,924,508.00€"
 Κυριακή 20 Αυγούστου 2023,"1,867,626.00€","279,875.95€","1,587,750.05€"
 Πέμπτη 17 Αυγούστου 2023,"2,335,788.00€","180,295.00€","2,155,493.00€"
 Τετάρτη 16 Αυγούστου 2023,"1,384,863.00€","166,921.00€","1,217,942.00€"
 Κυριακή 13 Αυγούστου 2023,"1,599,980.00€","169,996.00€","1,429,984.00€"
 Πέμπτη 10 Αυγούστου 2023,"2,433,433.00€","895,638.19€","1,537,794.81€"
 Τρίτη 8 Αυγούστου 2023,"1,850,187.00€","240,980.50€","1,609,206.50€"
 Κυριακή 6 Αυγούστου 2023,"2,347,943.00€","34,102.50€","2,313,840.50€"
 Πέμπτη 3 Αυγούστου 2023,"3,053,292.00€","189,707.00€","2,863,585.00€"
 Τρίτη 1 Αυγούστου 2023,"2,101,512.00€","250,764.32€","1,850,747.68€"
 Κυριακή 30 Ιουλίου 2023,"1,922,790.00€","273,963.50€","1,648,826.50€"
 Πέμπτη 27 Ιουλίου 2023,"2,455,426.00€","451,364.04€","2,004,061.96€"
 Τρίτη 25 Ιουλίου 2023,"1,821,533.00€","180,790.25€","1,640,742.75€"
 Κυριακή 23 Ιουλίου 2023,"3,081,211.00€","3,816,519.61€","-735,308.61€"
 Πέμπτη 20 Ιουλίου 2023,"3,701,784.00€","363,049.91€","3,338,734.09€"
 Τρίτη 18 Ιουλίου 2023,"2,657,164.00€","371,722.19€","2,285,441.81€"
 Κυριακή 16 Ιουλίου 2023,"2,466,212.00€","272,982.69€","2,193,229.31€"
 Πέμπτη 13 Ιουλίου 2023,"3,076,681.00€","230,851.50€","2,845,829.50€"
 Τρίτη 11 Ιουλίου 2023,"2,141,447.00€","306,809.56€","1,834,637.44€"
 Κυριακή 9 Ιουλίου 2023,"2,052,001.00€","209,153.34€","1,842,847.66€"
 Πέμπτη 6 Ιουλίου 2023,"2,764,174.00€","64,137.00€","2,700,037.00€"
 Τρίτη 4 Ιουλίου 2023,"1,888,811.00€","182,530.50€","1,706,280.50€"
 Κυριακή 2 Ιουλίου 2023,"1,778,803.00€","119,146.50€","1,659,656.50€"
 Πέμπτη 29 Ιουνίου 2023,"2,381,956.00€","272,088.50€","2,109,867.50€"
 Τρίτη 27 Ιουνίου 2023,"1,847,027.00€","62,998.98€","1,784,028.02€"
 Πέμπτη 22 Ιουνίου 2023,"2,733,927.00€","1,680,903.71€","1,053,023.29€"
 Τρίτη 20 Ιουνίου 2023,"1,998,963.00€","223,002.17€","1,775,960.83€"
 Κυριακή 18 Ιουνίου 2023,"1,846,490.00€","34,233.50€","1,812,256.50€"
 Τρίτη 13 Ιουνίου 2023,"1,875,399.00€","168,723.97€","1,706,675.03€"
 Κυριακή 11 Ιουνίου 2023,"3,827,080.00€","205,643.72€","3,621,436.28€"
 Πέμπτη 8 Ιουνίου 2023,"4,528,219.00€","475,513.39€","4,052,705.61€"
 Τρίτη 6 Ιουνίου 2023,"3,215,371.00€","317,657.97€","2,897,713.03€"
 Κυριακή 4 Ιουνίου 2023,"2,735,193.00€","320,200.40€","2,414,992.60€"
 Πέμπτη 1 Ιουνίου 2023,"3,685,345.00€","519,267.20€","3,166,077.80€"
 Τρίτη 30 Μαΐου 2023,"2,674,873.00€","285,010.50€","2,389,862.50€"
 Κυριακή 28 Μαΐου 2023,"2,317,460.00€","343,089.61€","1,974,370.39€"
 Πέμπτη 25 Μαΐου 2023,"3,023,672.00€","564,262.88€","2,459,409.12€"
 Τρίτη 23 Μαΐου 2023,"2,036,592.00€","73,674.50€","1,962,917.50€"
 Κυριακή 21 Μαΐου 2023,"1,805,234.00€","146,321.50€","1,658,912.50€"
 Πέμπτη 18 Μαΐου 2023,"2,442,039.00€","184,555.50€","2,257,483.50€"
 Τρίτη 16 Μαΐου 2023,"1,883,924.00€","192,759.50€","1,691,164.50€"
 Κυριακή 14 Μαΐου 2023,"2,699,824.00€","3,259,817.93€","-559,993.93€"
 Πέμπτη 11 Μαΐου 2023,"3,758,216.00€","138,191.00€","3,620,025.00€"
 Τρίτη 9 Μαΐου 2023,"2,466,955.00€","188,318.00€","2,278,637.00€"
 Κυριακή 7 Μαΐου 2023,"2,245,705.00€","259,704.00€","1,986,001.00€"
 Πέμπτη 4 Μαΐου 2023,"3,175,635.00€","329,821.63€","2,845,813.37€"
 Τρίτη 2 Μαΐου 2023,"2,101,151.00€","161,754.50€","1,939,396.50€"
 Κυριακή 30 Απρίλη 2023,"1,799,061.00€","210,004.41€","1,589,056.59€"
 Πέμπτη 27 Απρίλη 2023,"2,645,634.00€","2,089,663.50€","555,970.50€"
 Τρίτη 25 Απρίλη 2023,"2,021,352.00€","280,848.16€","1,740,503.84€"
 Κυριακή 23 Απρίλη 2023,"1,797,706.00€","626,771.45€","1,170,934.55€"
 Πέμπτη 20 Απρίλη 2023,"4,638,488.00€","106,032.82€","4,532,455.18€"
 Τρίτη 18 Απρίλη 2023,"3,120,033.00€","274,760.84€","2,845,272.16€"
 Σάββατο 15 Απρίλη 2023,"2,657,728.00€","131,767.50€","2,525,960.50€"
 Τετάρτη 12 Απρίλη 2023,"2,928,483.00€","353,888.00€","2,574,595.00€"
 Τρίτη 11 Απρίλη 2023,"1,285,764.00€","188,191.02€","1,097,572.98€"
 Κυριακή 9 Απρίλη 2023,"2,417,127.00€","69,644.00€","2,347,483.00€"
 Πέμπτη 6 Απρίλη 2023,"3,278,472.00€","283,506.00€","2,994,966.00€"
 Τρίτη 4 Απρίλη 2023,"2,184,551.00€","200,523.22€","1,984,027.78€"
 Κυριακή 2 Απρίλη 2023,"1,988,277.00€","333,596.91€","1,654,680.09€"
 Πέμπτη 30 Μαρτίου 2023,"2,895,062.00€","389,064.60€","2,505,997.40€"
 Τρίτη 28 Μαρτίου 2023,"3,209,190.00€","170,501.79€","3,038,688.21€"
 Κυριακή 26 Μαρτίου 2023,"2,751,885.00€","216,526.73€","2,535,358.27€"
 Πέμπτη 23 Μαρτίου 2023,"3,344,465.00€","427,429.56€","2,917,035.44€"
 Τρίτη 21 Μαρτίου 2023,"2,466,150.00€","284,223.13€","2,181,926.87€"
 Κυριακή 19 Μαρτίου 2023,"2,214,682.00€","243,356.96€","1,971,325.04€"
 Πέμπτη 16 Μαρτίου 2023,"2,964,461.00€","342,367.34€","2,622,093.66€"
 Τρίτη 14 Μαρτίου 2023,"2,019,338.00€","69,023.50€","1,950,314.50€"
 Κυριακή 12 Μαρτίου 2023,"1,927,027.00€","2,430,998.25€","-503,971.25€"
 Πέμπτη 9 Μαρτίου 2023,"10,342,533.00€","352,369.82€","9,990,163.18€"
 Τρίτη 7 Μαρτίου 2023,"7,069,141.00€","761,442.14€","6,307,698.86€"
 Κυριακή 5 Μαρτίου 2023,"5,424,040.00€","621,366.76€","4,802,673.24€"
 Πέμπτη 2 Μαρτίου 2023,"6,123,289.00€","555,139.98€","5,568,149.02€"
 Τρίτη 28 Φεβρουάριου 2023,"4,215,659.00€","401,379.06€","3,814,279.94€"
 Κυριακή 26 Φεβρουάριου 2023,"3,945,249.00€","530,133.92€","3,415,115.08€"
 Πέμπτη 23 Φεβρουάριου 2023,"5,399,075.00€","131,296.00€","5,267,779.00€"
 Τρίτη 21 Φεβρουάριου 2023,"3,780,762.00€","315,284.00€","3,465,478.00€"
 Κυριακή 19 Φεβρουάριου 2023,"3,315,114.00€","471,239.92€","2,843,874.08€"
 Πέμπτη 16 Φεβρουάριου 2023,"4,336,853.00€","438,684.16€","3,898,168.84€"
 Τρίτη 14 Φεβρουάριου 2023,"2,877,322.00€","371,052.62€","2,506,269.38€"
 Κυριακή 12 Φεβρουάριου 2023,"2,678,500.00€","290,746.22€","2,387,753.78€"
 Πέμπτη 9 Φεβρουάριου 2023,"2,370,838.00€","261,491.40€","2,109,346.60€"
 Τρίτη 7 Φεβρουάριου 2023,"2,025,235.00€","212,144.50€","1,813,090.50€"
 Κυριακή 5 Φεβρουάριου 2023,"2,025,235.00€","248,659.00€","1,776,576.00€"
 Πέμπτη 2 Φεβρουάριου 2023,"2,752,942.00€","260,729.30€","2,492,212.70€"
 Τρίτη 31 Ιανουαρίου 2023,"2,075,244.00€","370,408.63€","1,704,835.37€"
 Κυριακή 29 Ιανουαρίου 2023,"1,822,693.00€","1,885,876.98€","-63,183.98€"
 Πέμπτη 26 Ιανουαρίου 2023,"3,063,251.00€","1,027,215.24€","2,036,035.76€"
 Τρίτη 24 Ιανουαρίου 2023,"1,919,537.00€","86,087.00€","1,833,450.00€"
 Κυριακή 22 Ιανουαρίου 2023,"1,877,748.00€","196,620.50€","1,681,127.50€"
 Πέμπτη 19 Ιανουαρίου 2023,"2,794,920.00€","1,023,155.22€","1,771,764.78€"
 Τρίτη 17 Ιανουαρίου 2023,"2,035,947.00€","1,140,158.60€","895,788.40€"
 Κυριακή 15 Ιανουαρίου 2023,"2,083,241.00€","3,327,341.76€","-1,244,100.76€"
 Πέμπτη 12 Ιανουαρίου 2023,"2,887,967.00€","56,086.50€","2,831,880.50€"
 Τρίτη 10 Ιανουαρίου 2023,"2,161,297.00€","2,749,955.92€","-588,658.92€"
 Κυριακή 8 Ιανουαρίου 2023,"5,407,030.00€","273,794.96€","5,133,235.04€"
 Πέμπτη 5 Ιανουαρίου 2023,"6,337,243.00€","893,182.46€","5,444,060.54€"
 Τρίτη 3 Ιανουαρίου 2023,"4,718,051.00€","468,252.60€","4,249,798.40€"
 Κυριακή 1 Ιανουαρίου 2023,"4,309,631.00€","524,790.64€","3,784,840.36€"
 Πέμπτη 29 Δεκέμβρη 2022,"6,054,784.00€","1,049,033.40€","5,005,750.60€"
 Τρίτη 27 Δεκέμβρη 2022,"3,769,464.00€","390,953.18€","3,378,510.82€"
 Σάββατο 24 Δεκέμβρη 2022,"3,212,025.00€","298,528.60€","2,913,496.40€"
 Πέμπτη 22 Δεκέμβρη 2022,"3,651,979.00€","413,047.10€","3,238,931.90€"
 Κυριακή 18 Δεκέμβρη 2022,"2,331,530.00€","335,694.92€","1,995,835.08€"
 Πέμπτη 15 Δεκέμβρη 2022,"2,877,710.00€","363,810.73€","2,513,899.27€"
 Τρίτη 13 Δεκέμβρη 2022,"2,015,407.00€","51,677.50€","1,963,729.50€"
 Κυριακή 11 Δεκέμβρη 2022,"1,948,981.00€","1,991,136.20€","-42,155.20€"
 Πέμπτη 8 Δεκέμβρη 2022,"8,984,519.00€","81,153.00€","8,903,366.00€"
 Τρίτη 6 Δεκέμβρη 2022,"6,379,755.00€","451,114.50€","5,928,640.50€"
 Κυριακή 4 Δεκέμβρη 2022,"5,393,876.00€","1,349,722.08€","4,044,153.92€"
 Πέμπτη 1 Δεκέμβρη 2022,"7,095,425.00€","608,583.26€","6,486,841.74€"
 Τρίτη 29 Νοεμβρίου 2022,"4,716,663.00€","704,079.26€","4,012,583.74€"
 Κυριακή 27 Νοεμβρίου 2022,"4,097,473.00€","667,016.62€","3,430,456.38€"
 Πέμπτη 24 Νοεμβρίου 2022,"5,154,158.00€","631,193.54€","4,522,964.46€"
 Τρίτη 22 Νοεμβρίου 2022,"3,425,605.00€","122,706.50€","3,302,898.50€"
 Κυριακή 20 Νοεμβρίου 2022,"3,086,735.00€","210,774.00€","2,875,961.00€"
 Πέμπτη 17 Νοεμβρίου 2022,"4,102,937.00€","379,211.32€","3,723,725.68€"
 Τρίτη 15 Νοεμβρίου 2022,"2,888,662.00€","493,486.46€","2,395,175.54€"
 Κυριακή 13 Νοεμβρίου 2022,"2,541,264.00€","192,939.50€","2,348,324.50€"
 Πέμπτη 10 Νοεμβρίου 2022,"3,425,579.00€","276,689.00€","3,148,890.00€"
 Τρίτη 8 Νοεμβρίου 2022,"2,380,365.00€","80,898.00€","2,299,467.00€"
 Κυριακή 6 Νοεμβρίου 2022,"2,017,407.00€","228,533.50€","1,788,873.50€"
 Πέμπτη 3 Νοεμβρίου 2022,"2,764,069.00€","236,699.57€","2,527,369.43€"
 Τρίτη 1 Νοεμβρίου 2022,"2,012,072.00€","260,789.20€","1,751,282.80€"
 Κυριακή 30 Οκτωβρίου 2022,"2,743,977.00€","328,943.54€","2,415,033.46€"
 Πέμπτη 27 Οκτωβρίου 2022,"2,743,977.00€","328,943.54€","2,415,033.46€"
 Τρίτη 25 Οκτωβρίου 2022,"2,076,003.00€","158,630.37€","1,917,372.63€"
 Κυριακή 23 Οκτωβρίου 2022,"3,863,819.00€","226,537.57€","3,637,281.43€"
 Πέμπτη 20 Οκτωβρίου 2022,"4,856,371.00€","567,363.76€","4,289,007.24€"
 Τρίτη 18 Οκτωβρίου 2022,"3,360,656.00€","444,005.82€","2,916,650.18€"
 Κυριακή 16 Οκτωβρίου 2022,"2,948,588.00€","530,296.86€","2,418,291.14€"
 Πέμπτη 13 Οκτωβρίου 2022,"3,965,863.00€","374,145.83€","3,591,717.17€"
 Τρίτη 11 Οκτωβρίου 2022,"2,822,528.00€","418,531.96€","2,403,996.04€"
 Κυριακή 9 Οκτωβρίου 2022,"2,474,811.00€","57,194.50€","2,417,616.50€"
 Πέμπτη 6 Οκτωβρίου 2022,"3,348,980.00€","224,842.00€","3,124,138.00€"
 Τρίτη 4 Οκτωβρίου 2022,"2,195,668.00€","302,144.80€","1,893,523.20€"
 Κυριακή 2 Οκτωβρίου 2022,"2,006,475.00€","74,845.00€","1,931,630.00€"
 Πέμπτη 29 Σεπτεμβρίου 2022,"2,897,880.00€","1,789,599.23€","1,108,280.77€"
 Τρίτη 27 Σεπτεμβρίου 2022,"4,230,535.00€","207,495.85€","4,023,039.15€"
 Κυριακή 25 Σεπτεμβρίου 2022,"3,591,239.00€","332,906.93€","3,258,332.07€"
 Πέμπτη 22 Σεπτεμβρίου 2022,"4,619,474.00€","594,183.28€","4,025,290.72€"
 Τρίτη 20 Σεπτεμβρίου 2022,"3,091,254.00€","375,211.63€","2,716,042.37€"
 Κυριακή 18 Σεπτεμβρίου 2022,"2,805,851.00€","260,638.82€","2,545,212.18€"
 Πέμπτη 15 Σεπτεμβρίου 2022,"3,596,155.00€","333,334.95€","3,262,820.05€"
 Τρίτη 13 Σεπτεμβρίου 2022,"2,440,016.00€","288,784.66€","2,151,231.34€"
 Κυριακή 11 Σεπτεμβρίου 2022,"2,277,246.00€","85,241.00€","2,192,005.00€"
 Πέμπτη 8 Σεπτεμβρίου 2022,"2,768,087.00€","214,082.50€","2,554,004.50€"
 Τρίτη 6 Σεπτεμβρίου 2022,"2,057,262.00€","171,872.17€","1,885,389.83€"
 Κυριακή 4 Σεπτεμβρίου 2022,"1,919,516.00€","263,757.50€","1,655,758.50€"
 Πέμπτη 1 Σεπτεμβρίου 2022,"3,283,093.00€","189,759.21€","3,093,333.79€"
 Τρίτη 30 Αυγούστου 2022,"2,211,349.00€","513,818.09€","1,697,530.91€"
 Κυριακή 28 Αυγούστου 2022,"1,988,711.00€","47,770.00€","1,940,941.00€"
 Πέμπτη 25 Αυγούστου 2022,"2,669,665.00€","2,347,182.26€","322,482.74€"
 Τρίτη 23 Αυγούστου 2022,"13,390,353.00€","608,958.09€","12,781,394.91€"
 Κυριακή 21 Αυγούστου 2022,"10,840,602.00€","1,084,148.59€","9,756,453.41€"
 Πέμπτη 18 Αυγούστου 2022,"11,003,899.00€","925,633.96€","10,078,265.04€"
 Τρίτη 16 Αυγούστου 2022,"7,258,800.00€","667,091.48€","6,591,708.52€"
 Κυριακή 14 Αυγούστου 2022,"4,902,939.00€","1,256,453.54€","3,646,485.46€"
 Πέμπτη 11 Αυγούστου 2022,"6,834,068.00€","820,597.14€","6,013,470.86€"
 Τρίτη 9 Αυγούστου 2022,"4,905,994.00€","686,873.24€","4,219,120.76€"
 Κυριακή 7 Αυγούστου 2022,"4,039,071.00€","581,798.79€","3,457,272.21€"
 Πέμπτη 4 Αυγούστου 2022,"5,015,466.00€","178,218.00€","4,837,248.00€"
 Τρίτη 2 Αυγούστου 2022,"3,483,807.00€","333,653.50€","3,150,153.50€"
 Κυριακή 31 Ιουλίου 2022,"3,103,506.00€","321,571.50€","2,781,934.50€"
 Πέμπτη 28 Ιουλίου 2022,"3,792,797.00€","91,067.50€","3,701,729.50€"
 Τρίτη 26 Ιουλίου 2022,"2,698,482.00€","197,929.00€","2,500,553.00€"
 Κυριακή 24 Ιουλίου 2022,"2,228,110.00€","209,453.50€","2,018,656.50€"
 Πέμπτη 21 Ιουλίου 2022,"2,857,696.00€","523,102.98€","2,334,593.02€"
 Τρίτη 19 Ιουλίου 2022,"2,111,216.00€","56,525.50€","2,054,690.50€"
 Κυριακή 17 Ιουλίου 2022,"1,888,143.00€","161,701.00€","1,726,442.00€"
 Πέμπτη 14 Ιουλίου 2022,"2,440,705.00€","271,718.66€","2,168,986.34€"
 Τρίτη 12 Ιουλίου 2022,"1,777,290.00€","152,029.35€","1,625,260.65€"
 Κυριακή 10 Ιουλίου 2022,"1,640,490.00€","544,448.72€","1,096,041.28€"
 Πέμπτη 7 Ιουλίου 2022,"4,253,386.00€","161,561.52€","4,091,824.48€"
 Τρίτη 5 Ιουλίου 2022,"2,782,157.00€","234,861.69€","2,547,295.31€"
 Κυριακή 3 Ιουλίου 2022,"2,559,625.00€","228,731.10€","2,330,893.90€"
 Πέμπτη 30 Ιουνίου 2022,"3,302,182.00€","540,728.00€","2,761,454.00€"
 Τρίτη 28 Ιουνίου 2022,"2,323,683.00€","235,045.06€","2,088,637.94€"
 Κυριακή 26 Ιουνίου 2022,"2,043,276.00€","264,765.00€","1,778,511.00€"
 Πέμπτη 23 Ιουνίου 2022,"2,618,701.00€","104,282.50€","2,514,418.50€"
 Τρίτη 21 Ιουνίου 2022,"1,750,752.00€","139,610.50€","1,611,141.50€"
 Κυριακή 19 Ιουνίου 2022,"1,638,262.00€","143,682.50€","1,494,579.50€"
 Πέμπτη 16 Ιουνίου 2022,"2,356,429.00€","308,736.56€","2,047,692.44€"
 Τρίτη 14 Ιουνίου 2022,"2,608,557.00€","33,152.50€","2,575,404.50€"
 Κυριακή 12 Ιουνίου 2022,"2,211,612.00€","154,537.50€","2,057,074.50€"
 Πέμπτη 9 Ιουνίου 2022,"3,127,624.00€","86,596.50€","3,041,027.50€"
 Τρίτη 7 Ιουνίου 2022,"2,183,706.00€","176,027.50€","2,007,678.50€"
 Κυριακή 5 Ιουνίου 2022,"1,961,946.00€","172,113.50€","1,789,832.50€"
 Πέμπτη 2 Ιουνίου 2022,"2,502,338.00€","258,563.12€","2,243,774.88€"
 Τρίτη 31 Μαΐου 2022,"1,853,146.00€","184,436.02€","1,668,709.98€"
 Κυριακή 29 Μαΐου 2022,"1,735,949.00€","234,380.25€","1,501,568.75€"
 Πέμπτη 26 Μαΐου 2022,"3,726,002.00€","3,233,203.65€","492,798.35€"
 Τρίτη 24 Μαΐου 2022,"2,511,058.00€","259,467.35€","2,251,590.65€"
 Πέμπτη 19 Μαΐου 2022,"2,969,271.00€","72,153.00€","2,897,118.00€"
 Τρίτη 17 Μαΐου 2022,"2,050,820.00€","174,127.00€","1,876,693.00€"
 Κυριακή 15 Μαΐου 2022,"1,793,221.00€","204,958.09€","1,588,262.91€"
 Πέμπτη 12 Μαΐου 2022,"2,525,568.00€","187,270.00€","2,338,298.00€"
 Τρίτη 10 Μαΐου 2022,"1,918,857.00€","390,893.50€","1,527,963.50€"
 Κυριακή 8 Μαΐου 2022,"5,373,422.00€","278,221.35€","5,095,200.65€"
 Πέμπτη 5 Μαΐου 2022,"6,413,161.00€","437,890.12€","5,975,270.88€"
 Τρίτη 3 Μαΐου 2022,"4,168,065.00€","442,348.32€","3,725,716.68€"
 Κυριακή 1 Μαΐου 2022,"3,790,177.00€","388,827.36€","3,401,349.64€"
 Πέμπτη 28 Απρίλη 2022,"4,488,824.00€","493,422.86€","3,995,401.14€"
 Τρίτη 26 Απρίλη 2022,"3,200,820.00€","398,973.77€","2,801,846.23€"
 Σάββατο 23 Απρίλη 2022,"2,526,226.00€","417,670.18€","2,108,555.82€"
 Τετάρτη 20 Απρίλη 2022,"3,022,206.00€","107,839.00€","2,914,367.00€"
 Τρίτη 19 Απρίλη 2022,"1,491,705.00€","101,590.00€","1,390,115.00€"
 Κυριακή 17 Απρίλη 2022,"2,495,621.00€","406,845.83€","2,088,775.17€"
 Πέμπτη 14 Απρίλη 2022,"3,221,862.00€","323,573.00€","2,898,289.00€"
 Τρίτη 12 Απρίλη 2022,"2,255,314.00€","156,955.00€","2,098,359.00€"
 Κυριακή 10 Απρίλη 2022,"1,983,513.00€","242,574.63€","1,740,938.37€"
 Πέμπτη 7 Απρίλη 2022,"2,664,294.00€","281,137.43€","2,383,156.57€"
 Τρίτη 5 Απρίλη 2022,"1,868,968.00€","168,748.06€","1,700,219.94€"
 Κυριακή 3 Απρίλη 2022,"1,726,809.00€","197,909.06€","1,528,899.94€"
 Πέμπτη 31 Μαρτίου 2022,"5,146,941.00€","5,185,604.96€","-38,663.96€"
 Τρίτη 29 Μαρτίου 2022,"3,462,553.00€","587,841.16€","2,874,711.84€"
 Κυριακή 27 Μαρτίου 2022,"2,975,381.00€","436,439.68€","2,538,941.32€"
 Πέμπτη 24 Μαρτίου 2022,"3,710,719.00€","451,334.34€","3,259,384.66€"
 Τρίτη 22 Μαρτίου 2022,"2,715,505.00€","68,303.50€","2,647,201.50€"
 Κυριακή 20 Μαρτίου 2022,"2,377,935.00€","172,046.00€","2,205,889.00€"
 Πέμπτη 17 Μαρτίου 2022,"3,302,069.00€","465,553.84€","2,836,515.16€"
 Τρίτη 15 Μαρτίου 2022,"2,307,719.00€","537,085.44€","1,770,633.56€"
 Κυριακή 13 Μαρτίου 2022,"2,033,304.00€","55,327.50€","1,977,976.50€"
 Πέμπτη 10 Μαρτίου 2022,"2,849,325.00€","245,516.00€","2,603,809.00€"
 Τρίτη 8 Μαρτίου 2022,"1,854,419.00€","46,176.50€","1,808,242.50€"
 Κυριακή 6 Μαρτίου 2022,"1,540,071.00€","161,164.50€","1,378,906.50€"
 Πέμπτη 3 Μαρτίου 2022,"2,506,355.00€","2,781,445.59€","-275,090.59€"
 Τρίτη 1 Μαρτίου 2022,"2,263,027.00€","64,838.47€","2,198,188.53€"
 Κυριακή 27 Φεβρουάριου 2022,"2,001,161.00€","786,945.05€","1,214,215.95€"
 Πέμπτη 24 Φεβρουάριου 2022,"2,694,173.00€","64,061.00€","2,630,112.00€"
 Τρίτη 22 Φεβρουάριου 2022,"1,817,912.00€","156,767.50€","1,661,144.50€"
 Κυριακή 20 Φεβρουάριου 2022,"1,760,009.00€","1,086,748.56€","673,260.44€"
 Πέμπτη 17 Φεβρουάριου 2022,"10,042,872.00€","10,207,712.70€","-164,840.70€"
 Τρίτη 15 Φεβρουάριου 2022,"6,714,398.00€","1,308,400.10€","5,405,997.90€"
 Κυριακή 13 Φεβρουάριου 2022,"5,309,097.00€","467,434.75€","4,841,662.25€"
 Πέμπτη 10 Φεβρουάριου 2022,"6,568,169.00€","843,725.74€","5,724,443.26€"
 Τρίτη 8 Φεβρουάριου 2022,"4,441,931.00€","356,528.12€","4,085,402.88€"
 Κυριακή 6 Φεβρουάριου 2022,"3,524,065.00€","555,035.50€","2,969,029.50€"
 Πέμπτη 3 Φεβρουάριου 2022,"4,990,052.00€","790,958.98€","4,199,093.02€"
 Τρίτη 1 Φεβρουάριου 2022,"3,169,363.00€","275,563.11€","2,893,799.89€"
 Πέμπτη 27 Ιανουαρίου 2022,"3,800,246.00€","286,641.50€","3,513,604.50€"
 Κυριακή 23 Ιανουαρίου 2022,"2,643,356.00€","286,641.50€","2,356,714.50€"
 Πέμπτη 20 Ιανουαρίου 2022,"3,151,022.00€","87,417.00€","3,063,605.00€"
 Τρίτη 18 Ιανουαρίου 2022,"2,124,403.00€","142,912.00€","1,981,491.00€"
 Κυριακή 16 Ιανουαρίου 2022,"1,898,550.00€","154,264.50€","1,744,285.50€"
 Πέμπτη 13 Ιανουαρίου 2022,"2,866,438.00€","77,711.50€","2,788,726.50€"
 Τρίτη 11 Ιανουαρίου 2022,"1,824,674.00€","123,940.00€","1,700,734.00€"
 Κυριακή 9 Ιανουαρίου 2022,"1,629,678.00€","279,006.74€","1,350,671.26€"
 Πέμπτη 6 Ιανουαρίου 2022,"2,561,344.00€","192,794.39€","2,368,549.61€"
 Τρίτη 4 Ιανουαρίου 2022,"2,285,938.00€","32,847.50€","2,253,090.50€"
 Κυριακή 2 Ιανουαρίου 2022,"2,032,313.00€","209,221.50€","1,823,091.50€"
 Πέμπτη 30 Δεκέμβρη 2021,"3,277,287.00€","385,896.37€","2,891,390.63€"
 Τρίτη 28 Δεκέμβρη 2021,"2,486,261.00€","11,201,302.44€","-8,715,041.44€"
 Κυριακή 26 Δεκέμβρη 2021,"2,861,021.00€","291,052.73€","2,569,968.27€"
 Πέμπτη 23 Δεκέμβρη 2021,"3,588,694.00€","367,378.80€","3,221,315.20€"
