Date,Total Stakes,Total Paid,Profit
 Πέμπτη 3 Απρίλη 2025,"1,559,947.00€","431,720.50€","1,128,226.50€"
 Τρίτη 1 Απρίλη 2025,"1,124,670.00€","202,157.50€","922,512.50€"
 Κυριακή 30 Μαρτίου 2025,"1,078,823.00€","279,909.50€","798,913.50€"
 Πέμπτη 27 Μαρτίου 2025,"1,569,404.00€","241,589.00€","1,327,815.00€"
 Τετάρτη 26 Μαρτίου 2025,"898,861.00€","255,543.50€","643,317.50€"
 Κυριακή 23 Μαρτίου 2025,"938,084.00€","1,061,631.00€","-123,547.00€"
 Πέμπτη 20 Μαρτίου 2025,"2,556,562.00€","214,826.00€","2,341,736.00€"
 Τρίτη 18 Μαρτίου 2025,"1,870,578.00€","1,229,136.50€","641,441.50€"
 Κυριακή 16 Μαρτίου 2025,"1,682,144.00€","448,985.00€","1,233,159.00€"
 Πέμπτη 13 Μαρτίου 2025,"2,348,824.00€","292,083.00€","2,056,741.00€"
 Τρίτη 11 Μαρτίου 2025,"1,684,269.00€","365,657.50€","1,318,611.50€"
 Κυριακή 9 Μαρτίου 2025,"1,617,058.00€","319,498.50€","1,297,559.50€"
 Πέμπτη 6 Μαρτίου 2025,"2,217,951.00€","569,233.00€","1,648,718.00€"
 Τρίτη 4 Μαρτίου 2025,"1,577,517.00€","487,309.00€","1,090,208.00€"
 Κυριακή 2 Μαρτίου 2025,"1,301,517.00€","198,545.00€","1,102,972.00€"
 Πέμπτη 27 Φεβρουάριου 2025,"1,913,286.00€","634,570.00€","1,278,716.00€"
 Τρίτη 25 Φεβρουάριου 2025,"1,415,674.00€","270,760.00€","1,144,914.00€"
 Κυριακή 23 Φεβρουάριου 2025,"1,332,772.00€","261,948.50€","1,070,823.50€"
 Πέμπτη 20 Φεβρουάριου 2025,"1,755,008.00€","237,162.50€","1,517,845.50€"
 Τρίτη 18 Φεβρουάριου 2025,"1,215,347.00€","223,995.00€","991,352.00€"
 Κυριακή 16 Φεβρουάριου 2025,"1,203,776.00€","193,675.50€","1,010,100.50€"
 Πέμπτη 13 Φεβρουάριου 2025,"1,750,611.00€","251,696.50€","1,498,914.50€"
 Τρίτη 11 Φεβρουάριου 2025,"1,186,910.00€","436,436.00€","750,474.00€"
 Κυριακή 9 Φεβρουάριου 2025,"1,155,429.00€","221,847.50€","933,581.50€"
 Πέμπτη 6 Φεβρουάριου 2025,"1,599,844.00€","233,188.50€","1,366,655.50€"
 Τρίτη 4 Φεβρουάριου 2025,"1,171,398.00€","229,310.00€","942,088.00€"
 Κυριακή 2 Φεβρουάριου 2025,"1,154,892.00€","235,660.00€","919,232.00€"
 Πέμπτη 30 Ιανουαρίου 2025,"1,701,206.00€","822,506.00€","878,700.00€"
 Τρίτη 28 Ιανουαρίου 2025,"7,201,275.00€","397,399.00€","6,803,876.00€"
 Κυριακή 26 Ιανουαρίου 2025,"5,163,767.00€","1,031,390.50€","4,132,376.50€"
 Πέμπτη 23 Ιανουαρίου 2025,"6,171,078.00€","1,201,637.00€","4,969,441.00€"
 Τρίτη 21 Ιανουαρίου 2025,"4,580,437.00€","680,146.50€","3,900,290.50€"
 Κυριακή 19 Ιανουαρίου 2025,"4,091,915.00€","1,189,869.50€","2,902,045.50€"
 Πέμπτη 16 Ιανουαρίου 2025,"5,086,446.00€","1,041,834.00€","4,044,612.00€"
 Τρίτη 14 Ιανουαρίου 2025,"3,792,930.00€","961,212.50€","2,831,717.50€"
 Κυριακή 12 Ιανουαρίου 2025,"3,551,908.00€","699,790.50€","2,852,117.50€"
 Πέμπτη 9 Ιανουαρίου 2025,"4,346,692.00€","1,170,722.50€","3,175,969.50€"
 Τρίτη 7 Ιανουαρίου 2025,"3,159,665.00€","744,106.50€","2,415,558.50€"
 Κυριακή 5 Ιανουαρίου 2025,"2,735,477.00€","527,705.50€","2,207,771.50€"
 Πέμπτη 2 Ιανουαρίου 2025,"3,562,930.00€","638,582.00€","2,924,348.00€"
 Τρίτη 31 Δεκέμβρη 2024,"2,497,923.00€","327,092.00€","2,170,831.00€"
 Κυριακή 29 Δεκέμβρη 2024,"3,352,495.00€","1,228,215.00€","2,124,280.00€"
 Πέμπτη 26 Δεκέμβρη 2024,"3,051,022.00€","347,356.00€","2,703,666.00€"
 Τρίτη 24 Δεκέμβρη 2024,"1,609,067.00€","389,743.00€","1,219,324.00€"
 Κυριακή 22 Δεκέμβρη 2024,"2,136,234.00€","279,801.00€","1,856,433.00€"
 Πέμπτη 19 Δεκέμβρη 2024,"2,411,719.00€","268,063.00€","2,143,656.00€"
 Τρίτη 17 Δεκέμβρη 2024,"1,600,023.00€","358,010.50€","1,242,012.50€"
 Κυριακή 15 Δεκέμβρη 2024,"1,477,093.00€","420,632.50€","1,056,460.50€"
 Πέμπτη 12 Δεκέμβρη 2024,"2,042,933.00€","676,928.00€","1,366,005.00€"
 Τρίτη 10 Δεκέμβρη 2024,"1,388,721.00€","197,036.50€","1,191,684.50€"
 Κυριακή 8 Δεκέμβρη 2024,"1,293,573.00€","224,304.50€","1,069,268.50€"
 Πέμπτη 5 Δεκέμβρη 2024,"1,842,859.00€","223,188.50€","1,619,670.50€"
 Τρίτη 3 Δεκέμβρη 2024,"1,270,689.00€","610,170.00€","660,519.00€"
 Κυριακή 1 Δεκέμβρη 2024,"1,212,765.00€","142,274.50€","1,070,490.50€"
 Πέμπτη 28 Νοεμβρίου 2024,"1,677,505.00€","297,080.00€","1,380,425.00€"
 Τρίτη 26 Νοεμβρίου 2024,"1,141,736.00€","257,293.50€","884,442.50€"
 Κυριακή 24 Νοεμβρίου 2024,"1,071,917.00€","169,973.50€","901,943.50€"
 Πέμπτη 21 Νοεμβρίου 2024,"1,462,522.00€","465,184.50€","997,337.50€"
 Τρίτη 19 Νοεμβρίου 2024,"1,054,541.00€","132,331.00€","922,210.00€"
 Κυριακή 17 Νοεμβρίου 2024,"1,041,809.00€","157,348.00€","884,461.00€"
 Πέμπτη 14 Νοεμβρίου 2024,"1,605,632.00€","632,471.92€","973,160.08€"
 Τρίτη 12 Νοεμβρίου 2024,"1,134,663.00€","3,854,812.52€","-2,720,149.52€"
 Κυριακή 10 Νοεμβρίου 2024,"1,500,610.00€","346,758.00€","1,153,852.00€"
 Πέμπτη 7 Νοεμβρίου 2024,"1,948,276.00€","547,864.00€","1,400,412.00€"
 Κυριακή 3 Νοεμβρίου 2024,"1,310,142.00€","226,386.00€","1,083,756.00€"
 Πέμπτη 31 Οκτωβρίου 2024,"1,871,947.00€","382,010.50€","1,489,936.50€"
 Τρίτη 29 Οκτωβρίου 2024,"1,334,533.00€","141,881.50€","1,192,651.50€"
 Κυριακή 27 Οκτωβρίου 2024,"1,014,307.00€","136,554.50€","877,752.50€"
 Πέμπτη 24 Οκτωβρίου 2024,"1,619,148.00€","349,768.00€","1,269,380.00€"
 Τρίτη 22 Οκτωβρίου 2024,"1,107,383.00€","261,699.00€","845,684.00€"
 Πέμπτη 17 Οκτωβρίου 2024,"1,508,382.00€","677,579.50€","830,802.50€"
 Τρίτη 15 Οκτωβρίου 2024,"1,126,171.00€","189,659.00€","936,512.00€"
 Κυριακή 13 Οκτωβρίου 2024,"1,059,487.00€","160,218.00€","899,269.00€"
 Πέμπτη 10 Οκτωβρίου 2024,"1,541,003.00€","254,489.50€","1,286,513.50€"
 Τρίτη 8 Οκτωβρίου 2024,"1,121,471.00€","156,471.00€","965,000.00€"
 Κυριακή 6 Οκτωβρίου 2024,"1,065,603.00€","1,367,882.50€","-302,279.50€"
 Πέμπτη 3 Οκτωβρίου 2024,"1,643,073.00€","1,411,546.50€","231,526.50€"
 Κυριακή 29 Σεπτεμβρίου 2024,"1,126,574.00€","993,422.00€","133,152.00€"
 Πέμπτη 26 Σεπτεμβρίου 2024,"7,422,701.00€","388,209.00€","7,034,492.00€"
 Τρίτη 24 Σεπτεμβρίου 2024,"5,820,130.00€","1,190,859.50€","4,629,270.50€"
 Κυριακή 22 Σεπτεμβρίου 2024,"5,178,438.00€","892,790.50€","4,285,647.50€"
 Πέμπτη 19 Σεπτεμβρίου 2024,"5,987,579.00€","1,202,344.00€","4,785,235.00€"
 Τρίτη 17 Σεπτεμβρίου 2024,"4,525,012.00€","682,363.50€","3,842,648.50€"
 Κυριακή 15 Σεπτεμβρίου 2024,"4,170,584.00€","998,570.50€","3,172,013.50€"
 Πέμπτη 12 Σεπτεμβρίου 2024,"4,898,978.00€","1,186,394.50€","3,712,583.50€"
 Τρίτη 10 Σεπτεμβρίου 2024,"3,692,301.00€","1,005,004.50€","2,687,296.50€"
 Κυριακή 8 Σεπτεμβρίου 2024,"3,256,993.00€","1,000,330.00€","2,256,663.00€"
 Πέμπτη 5 Σεπτεμβρίου 2024,"3,655,999.00€","1,105,116.00€","2,550,883.00€"
 Τρίτη 3 Σεπτεμβρίου 2024,"2,734,709.00€","767,067.50€","1,967,641.50€"
 Κυριακή 1 Σεπτεμβρίου 2024,"2,387,874.00€","549,963.00€","1,837,911.00€"
 Πέμπτη 29 Αυγούστου 2024,"2,846,845.00€","251,415.00€","2,595,430.00€"
 Τρίτη 27 Αυγούστου 2024,"2,005,552.00€","251,415.00€","1,754,137.00€"
 Κυριακή 25 Αυγούστου 2024,"1,767,384.00€","371,833.50€","1,395,550.50€"
 Πέμπτη 22 Αυγούστου 2024,"2,109,875.00€","511,597.50€","1,598,277.50€"
 Τρίτη 20 Αυγούστου 2024,"1,584,141.00€","320,797.00€","1,263,344.00€"
 Κυριακή 18 Αυγούστου 2024,"1,434,679.00€","263,730.50€","1,170,948.50€"
 Τετάρτη 14 Αυγούστου 2024,"1,788,897.00€","314,515.00€","1,474,382.00€"
 Τρίτη 13 Αυγούστου 2024,"745,695.00€","430,751.00€","314,944.00€"
 Κυριακή 11 Αυγούστου 2024,"1,166,677.00€","187,319.50€","979,357.50€"
 Πέμπτη 8 Αυγούστου 2024,"1,639,347.00€","485,929.50€","1,153,417.50€"
 Κυριακή 4 Αυγούστου 2024,"1,127,343.00€","196,306.00€","931,037.00€"
 Πέμπτη 1 Αυγούστου 2024,"1,547,630.00€","337,840.00€","1,209,790.00€"
 Τρίτη 30 Ιουλίου 2024,"1,151,842.00€","202,947.50€","948,894.50€"
 Κυριακή 28 Ιουλίου 2024,"1,083,011.00€","251,867.50€","831,143.50€"
 Πέμπτη 25 Ιουλίου 2024,"1,364,365.00€","224,727.00€","1,139,638.00€"
 Τρίτη 23 Ιουλίου 2024,"974,604.00€","149,735.00€","824,869.00€"
 Κυριακή 21 Ιουλίου 2024,"901,392.00€","127,010.50€","774,381.50€"
 Πέμπτη 18 Ιουλίου 2024,"1,209,626.00€","769,016.00€","440,610.00€"
 Τρίτη 16 Ιουλίου 2024,"923,120.00€","441,961.00€","481,159.00€"
 Κυριακή 14 Ιουλίου 2024,"890,066.00€","153,843.50€","736,222.50€"
 Πέμπτη 11 Ιουλίου 2024,"1,216,662.00€","186,535.00€","1,030,127.00€"
 Τρίτη 9 Ιουλίου 2024,"902,583.00€","197,484.00€","705,099.00€"
 Κυριακή 7 Ιουλίου 2024,"979,567.00€","338,117.50€","641,449.50€"
 Πέμπτη 4 Ιουλίου 2024,"1,338,418.00€","316,262.00€","1,022,156.00€"
 Κυριακή 30 Ιουνίου 2024,"953,646.00€","196,095.50€","757,550.50€"
 Πέμπτη 27 Ιουνίου 2024,"1,314,556.00€","431,136.00€","883,420.00€"
 Τρίτη 25 Ιουνίου 2024,"1,621,964.00€","209,022.00€","1,412,942.00€"
 Κυριακή 23 Ιουνίου 2024,"1,406,146.00€","219,690.50€","1,186,455.50€"
 Πέμπτη 20 Ιουνίου 2024,"1,798,630.00€","457,263.50€","1,341,366.50€"
 Τρίτη 18 Ιουνίου 2024,"1,350,634.00€","213,296.00€","1,137,338.00€"
 Κυριακή 16 Ιουνίου 2024,"1,297,661.00€","403,164.50€","894,496.50€"
 Πέμπτη 13 Ιουνίου 2024,"1,688,232.00€","340,834.50€","1,347,397.50€"
 Τρίτη 11 Ιουνίου 2024,"1,198,287.00€","362,945.50€","835,341.50€"
 Κυριακή 9 Ιουνίου 2024,"1,132,270.00€","169,072.00€","963,198.00€"
 Πέμπτη 6 Ιουνίου 2024,"1,508,795.00€","313,929.50€","1,194,865.50€"
 Τρίτη 4 Ιουνίου 2024,"1,136,332.00€","166,785.00€","969,547.00€"
 Κυριακή 2 Ιουνίου 2024,"1,105,298.00€","234,008.00€","871,290.00€"
 Πέμπτη 30 Μαΐου 2024,"1,575,051.00€","522,865.00€","1,052,186.00€"
 Τρίτη 28 Μαΐου 2024,"1,077,890.00€","146,260.50€","931,629.50€"
 Κυριακή 26 Μαΐου 2024,"1,011,027.00€","142,086.00€","868,941.00€"
 Πέμπτη 23 Μαΐου 2024,"1,361,487.00€","397,327.00€","964,160.00€"
 Τρίτη 21 Μαΐου 2024,"975,911.00€","328,338.50€","647,572.50€"
 Κυριακή 19 Μαΐου 2024,"928,243.00€","129,210.50€","799,032.50€"
 Πέμπτη 16 Μαΐου 2024,"1,367,156.00€","176,066.50€","1,191,089.50€"
 Τρίτη 14 Μαΐου 2024,"980,244.00€","268,549.00€","711,695.00€"
 Κυριακή 12 Μαΐου 2024,"1,013,736.00€","239,865.00€","773,871.00€"
 Πέμπτη 9 Μαΐου 2024,"1,437,583.00€","185,935.00€","1,251,648.00€"
 Τρίτη 7 Μαΐου 2024,"1,072,940.00€","174,189.50€","898,750.50€"
 Σάββατο 4 Μαΐου 2024,"835,961.00€","971,156.00€","-135,195.00€"
 Τετάρτη 1 Μαΐου 2024,"1,172,556.00€","183,915.00€","988,641.00€"
 Τρίτη 30 Απρίλη 2024,"538,555.00€","275,328.00€","263,227.00€"
 Κυριακή 28 Απρίλη 2024,"1,085,388.00€","193,129.50€","892,258.50€"
 Πέμπτη 25 Απρίλη 2024,"1,495,068.00€","401,433.50€","1,093,634.50€"
