Date,Total Stakes,Total Paid,Profit
Σάββατο 16/11/2024,"276,269.00€","85,866.00€","190,403.00€"
Τετάρτη 13/11/2024,"286,978.00€","101,346.00€","185,632.00€"
Σάββατο 09/11/2024,"283,629.00€","84,470.00€","199,159.00€"
Τετάρτη 06/11/2024,"288,957.00€","90,479.00€","198,478.00€"
Σάββατο 02/11/2024,"290,165.00€","129,177.00€","160,988.00€"
Τετάρτη 30/10/2024,"270,796.00€","1,095,494.00€","-824,698.00€"
Σάββατο 26/10/2024,"277,954.00€","116,678.00€","161,276.00€"
Τετάρτη 23/10/2024,"271,539.00€","115,335.00€","156,204.00€"
Σάββατο 19/10/2024,"280,940.00€","63,595.00€","217,345.00€"
Τετάρτη 16/10/2024,"288,011.00€","90,112.00€","197,899.00€"
Σάββατο 12/10/2024,"280,913.00€","187,614.00€","93,299.00€"
Τετάρτη 09/10/2024,"284,286.00€","1,267,605.00€","-983,319.00€"
Σάββατο 05/10/2024,"280,686.00€","155,462.00€","125,224.00€"
Τετάρτη 02/10/2024,"305,975.00€","123,540.00€","182,435.00€"
Σάββατο 28/09/2024,"330,408.00€","170,907.00€","159,501.00€"
Τετάρτη 25/09/2024,"323,367.00€","231,895.00€","91,472.00€"
Σάββατο 21/09/2024,"313,997.00€","93,053.00€","220,944.00€"
Τετάρτη 18/09/2024,"326,859.00€","101,553.00€","225,306.00€"
Σάββατο 14/09/2024,"317,916.00€","142,854.00€","175,062.00€"
Τετάρτη 11/09/2024,"319,427.00€","106,929.00€","212,498.00€"
Σάββατο 07/09/2024,"306,621.00€","83,538.00€","223,083.00€"
Τετάρτη 04/09/2024,"310,858.00€","161,928.00€","148,930.00€"
Σάββατο 31/08/2024,"307,174.00€","97,821.00€","209,353.00€"
Τετάρτη 28/08/2024,"298,388.00€","99,528.00€","198,860.00€"
Σάββατο 24/08/2024,"277,081.00€","134,784.00€","142,297.00€"
Τετάρτη 21/08/2024,"275,794.00€","93,393.00€","182,401.00€"
Σάββατο 17/08/2024,"230,197.00€","219,708.00€","10,489.00€"
Τετάρτη 14/08/2024,"266,356.00€","86,460.00€","179,896.00€"
Σάββατο 10/08/2024,"277,104.00€","80,620.00€","196,484.00€"
Τετάρτη 07/08/2024,"282,224.00€","98,847.00€","183,377.00€"
Σάββατο 03/08/2024,"288,008.00€","85,794.00€","202,214.00€"
Τετάρτη 31/07/2024,"291,821.00€","121,087.00€","170,734.00€"
Σάββατο 27/07/2024,"274,639.00€","105,467.00€","169,172.00€"
Τετάρτη 24/07/2024,"265,918.00€","119,531.00€","146,387.00€"
Σάββατο 20/07/2024,"268,349.00€","61,822.00€","206,527.00€"
Τετάρτη 17/07/2024,"272,882.00€","126,539.00€","146,343.00€"
Σάββατο 13/07/2024,"273,602.00€","185,907.00€","87,695.00€"
Τετάρτη 10/07/2024,"278,486.00€","58,765.00€","219,721.00€"
Σάββατο 06/07/2024,"280,738.00€","124,363.00€","156,375.00€"
Τετάρτη 03/07/2024,"283,264.00€","277,255.00€","6,009.00€"
Σάββατο 29/06/2024,"301,096.00€","98,089.00€","203,007.00€"
Τετάρτη 26/06/2024,"285,560.00€","96,474.00€","189,086.00€"
Σάββατο 22/06/2024,"285,048.00€","159,477.00€","125,571.00€"
Τετάρτη 19/06/2024,"284,208.00€","185,141.00€","99,067.00€"
Σάββατο 15/06/2024,"285,098.00€","81,648.00€","203,450.00€"
Τετάρτη 12/06/2024,"280,125.00€","160,321.00€","119,804.00€"
Σάββατο 08/06/2024,"284,288.00€","73,399.00€","210,889.00€"
Τετάρτη 05/06/2024,"297,643.00€","137,747.00€","159,896.00€"
Σάββατο 01/06/2024,"312,541.00€","147,722.00€","164,819.00€"
Τετάρτη 29/05/2024,"306,953.00€","110,792.00€","196,161.00€"
Σάββατο 25/05/2024,"283,388.00€","123,417.00€","159,971.00€"
Τετάρτη 22/05/2024,"282,772.00€","1,302,149.00€","-1,019,377.00€"
Σάββατο 18/05/2024,"294,484.00€","123,695.00€","170,789.00€"
Τετάρτη 15/05/2024,"294,656.00€","83,587.00€","211,069.00€"
Σάββατο 11/05/2024,"295,487.00€","184,207.00€","111,280.00€"
Τετάρτη 08/05/2024,"256,660.00€","159,101.00€","97,559.00€"
Σάββατο 04/05/2024,"252,823.00€","77,017.00€","175,806.00€"
Τετάρτη 01/05/2024,"312,321.00€","220,201.00€","92,120.00€"
Σάββατο 27/04/2024,"313,049.00€","99,165.00€","213,884.00€"
Τετάρτη 24/04/2024,"307,563.00€","85,230.00€","222,333.00€"
Σάββατο 20/04/2024,"308,166.00€","96,352.00€","211,814.00€"
Τετάρτη 17/04/2024,"313,528.00€","89,522.00€","224,006.00€"
Σάββατο 13/04/2024,"316,673.00€","191,640.00€","125,033.00€"
Τετάρτη 10/04/2024,"320,692.00€","129,502.00€","191,190.00€"
Σάββατο 06/04/2024,"321,615.00€","105,016.00€","216,599.00€"
Τετάρτη 03/04/2024,"321,286.00€","225,189.00€","96,097.00€"
Σάββατο 30/03/2024,"334,330.00€","138,955.00€","195,375.00€"
Τετάρτη 27/03/2024,"312,505.00€","133,454.00€","179,051.00€"
